claim_id,subsection_id,claim_text,cited_paper_ids,citation_ids,verification_status,corrected_claim,evidence_summary,mismatch_type,reviewer_notes
SUB002-CL001,SUB002,"The PIK3CA-mutated cohort had a median progression-free survival of about 11.0 months with alpelisib plus fulvestrant versus 5.7 months with placebo plus fulvestrant, establishing a clinically meaningful biomarker-selected treatment effect rather than a universal PI3K-pathway claim `pmid-31091374`.",pmid-31091374,SUB002-C001,supported,,"SOLAR-1 reported median PFS of 11.0 months with alpelisib plus fulvestrant versus 5.7 months with placebo plus fulvestrant in the PIK3CA-mutated cohort, while the non-mutated cohort did not show the same magnitude of benefit.",,Supported; the biomarker-selected framing is faithful to the trial design and results.
SUB002-CL002,SUB002,"Thus, PFS benefit is the cleanest efficacy claim from SOLAR-1, whereas OS interpretation is more cautious and shaped by subsequent therapy and trial design `pmid-33246021`.",pmid-33246021,SUB002-C003,supported,,"The final OS analysis confirms the prior PFS benefit but reports median OS 39.3 versus 31.4 months with a result that did not cross the prespecified efficacy boundary, and discusses interpretive issues including postprogression therapy and trial context.",,Supported as an interpretive claim grounded in the OS paper.
SUB002-CL003,SUB002,"A retrospective SOLAR-1 genomic analysis reinforced PIK3CA alteration as the key predictive biomarker because alpelisib plus fulvestrant did not demonstrate efficacy in the PIK3CA-wild-type cohort, but it also showed that co-alterations and tumor complexity can modify outcomes within PIK3CA-altered disease `pmid-41967638`.",pmid-41967638,SUB002-C004,supported,,"The retrospective genomic analysis reports clinically relevant benefit in PIK3CA-altered disease, lack of demonstrated efficacy in PIK3CA-wild-type disease, and outcome variation associated with TMB, PTEN, PIK3CA amplification, multiple PIK3CA mutations, and other co-alterations.",,Supported; the paper directly addresses both biomarker selection and within-biomarker heterogeneity.
SUB002-CL004,SUB002,"Alpelisib toxicities, especially hyperglycemia, rash, diarrhea, and other gastrointestinal effects, required monitoring and dose management in SOLAR-1, so short treatment duration or discontinuation should not be automatically interpreted as genetic resistance `pmid-31091374`.",pmid-31091374,SUB002-C001,supported,,"SOLAR-1 reported frequent hyperglycemia, rash, diarrhea, and gastrointestinal adverse events, along with dose interruptions, reductions, and discontinuations due to adverse events, supporting the caution that limited exposure can reflect tolerability rather than genetic resistance.",,Supported; the final caution is a reasonable inference from the safety and discontinuation data.
SUB002-CL005,SUB002,The first-in-human alpelisib study similarly identified hyperglycemia as a dose-limiting and frequent adverse event while showing pharmacodynamic pathway inhibition and preliminary activity in PIK3CA-altered tumors `pmid-29401002`.,pmid-29401002,SUB002-C005,supported,,"The first-in-human study reported hyperglycemia among dose-limiting toxicities and common adverse events, documented pharmacodynamic pathway inhibition, and observed preliminary antitumor activity in PIK3CA-altered tumors.",,Supported.
SUB002-CL006,SUB002,"Later combination studies outside the approved fulvestrant setting underline this constraint: alpelisib plus paclitaxel and alpelisib plus cisplatin both encountered clinically important hyperglycemia or dose-limiting toxicity, supporting the draft's point that pharmacologic tolerability can shape apparent benefit `pmid-30167089` `pmid-36923283`.",pmid-30167089; pmid-36923283,SUB002-C006; SUB002-C007,supported,,"The paclitaxel combination study reported dose-limiting toxicity including hyperglycemia and a challenging safety profile, and the cisplatin combination study reported grade 4 hyperglycemia DLTs, toxicity-related discontinuations, and difficulty maintaining prolonged treatment or dose intensity.",,Supported by both cited combination studies.
SUB002-CL007,SUB002,"Work on SGLT2 inhibition further suggests that management of PI3K-alpha inhibitor induced hyperglycemia may affect dose modification and treatment continuity, although this is supportive care evidence rather than tumor-resistance evidence `pmid-39177931`.",pmid-39177931,SUB002-C008,supported,,"The SGLT2-inhibitor analysis links hyperglycemia management to fewer high-grade hyperglycemia events and fewer alpelisib dose adjustments, interruptions, or withdrawals, but it addresses supportive care rather than tumor-intrinsic resistance.",,Supported and appropriately qualified.
SUB002-CL008,SUB002,"BYLieve cohort A studied alpelisib plus fulvestrant after progression on a CDK4 and CDK6 inhibitor plus aromatase inhibitor, addressing a population that became common after SOLAR-1 enrollment `pmid-39637900`.",pmid-39637900,SUB002-C009,supported,,"BYLieve cohort A evaluated alpelisib plus fulvestrant in HR-positive HER2-negative PIK3CA-mutated advanced breast cancer after progression on a CDK4/6 inhibitor plus an aromatase inhibitor, a prior-therapy context underrepresented in SOLAR-1 because of its enrollment period.",,Supported.
SUB002-CL009,SUB002,"A real-world comparative analysis of alpelisib plus fulvestrant in HR-positive, HER2-negative, PIK3CA-mutated advanced breast cancer helps benchmark effectiveness outside the trial environment `pmid-33909934`.",pmid-33909934,SUB002-C010,supported,,"The real-world comparative study benchmarked alpelisib plus fulvestrant outcomes against real-world standard treatments in HR-positive, HER2-negative, PIK3CA-mutated advanced breast cancer after CDK4/6 inhibitor exposure.",,Supported.
SUB002-CL010,SUB002,"Mechanistic resistance evidence comes from different designs: in a phase I and II alpelisib plus aromatase inhibitor study, PTEN loss-of-function mutations were identified in resistant cases and ESR1 activating mutations expanded during treatment, while a separate acquired-resistance cohort found emergent PI3K pathway alterations, including PTEN loss, AKT1 activation, and secondary PIK3CA mutations, after PI3K-alpha inhibitor exposure `pmid-32864625` `pmid-37916958`.",pmid-32864625; pmid-37916958,SUB002-C011; SUB002-C012,supported,,"The alpelisib plus aromatase-inhibitor translational study linked resistant cases to PTEN loss-of-function and ESR1 activating-mutation expansion, while the acquired-resistance cohort reported emergent PI3K-pathway alterations after PI3K-alpha inhibitor exposure, including PTEN loss, AKT1 activation, and secondary PIK3CA mutations.",,Supported by the two cited papers; the claim preserves their distinct designs.
