claim_id,subsection_id,claim_text,cited_paper_ids,citation_ids,verification_status,corrected_claim,evidence_summary,mismatch_type,reviewer_notes
SUB015-CL001,SUB015,"The ctDNA work also pointed to possible resistance correlates such as KRAS and ERBB2 alterations in some cases, but the non-randomized early-phase design prevents it from proving that tamoxifen overcame PI3K-inhibitor resistance `pmid-31439579`.",pmid-31439579,SUB015-C001,supported,,"POSEIDON was a phase 1b non-randomized study of taselisib plus tamoxifen focused on safety, RP2D, PK, preliminary activity, and ctDNA. It reported KRAS and ERBB2 alterations in some nonresponding/progressing cases and did not include a randomized design capable of proving tamoxifen overcame PI3K-inhibitor resistance.",none,Supported by design and ctDNA case descriptions.
SUB015-CL002,SUB015,"A related alpelisib plus aromatase-inhibitor specimen study makes the resistance logic more explicit: PTEN and ESR1 alterations arose or were detected across plasma and tumor samples, suggesting that resistance to a combination can reflect escape from either the PI3K-alpha component or the endocrine component, often with spatial and temporal heterogeneity `pmid-32864625`.",pmid-32864625,SUB015-C002,supported,,The alpelisib plus letrozole/exemestane specimen study performed longitudinal tumor and plasma ctDNA analyses and identified PTEN loss-of-function alterations and expanding ESR1 activating mutations associated with resistance. The authors emphasize genomic alterations mediating resistance to either alpelisib or antiestrogen therapy and heterogeneity across sampled compartments and times.,none,Supported by the clinical specimen analysis.
SUB015-CL003,SUB015,"This negative feasibility signal is critical, because a biologically attractive resistance model can fail clinically through overlapping toxicity and dose-intensity limits `pmid-32887722`.",pmid-32887722,SUB015-C003,supported,,"The ribociclib-fulvestrant plus PI3K inhibitor phase 1b study found doublets feasible but stopped enrollment to triplets because of toxicity, did not determine an alpelisib triplet RP2D, and did not recommend PI3K-inhibitor triplets for phase 2. Frequent dose interruptions/reductions support dose-intensity concerns.",none,Supported by feasibility and toxicity findings.
SUB015-CL004,SUB015,"The FDA approval summary reported first-line inavolisib plus palbociclib-fulvestrant in endocrine-resistant, PIK3CA-mutated HR-positive, HER2-negative locally advanced or metastatic breast cancer, with PFS 15.0 versus 7.3 months, ORR 58% versus 25%, and longer duration of response than placebo plus palbociclib-fulvestrant `pmid-40845250`.",pmid-40845250,SUB015-C004,supported,,"The FDA approval summary describes INAVO120 as first-line inavolisib or placebo with palbociclib-fulvestrant in endocrine-resistant PIK3CA-mutated HR-positive HER2-negative locally advanced/metastatic breast cancer. It reports PFS 15.0 vs 7.3 months, ORR 58% vs 25%, and longer DOR for the inavolisib arm.",none,Supported by the approval summary.
SUB015-CL005,SUB015,"Final OS follow-up then reported median OS 34.0 versus 27.0 months, while still noting higher selected PI3K-class adverse events and underpowered subgroups `pmid-40454641`.",pmid-40454641,SUB015-C005,supported,,"The final INAVO120 report shows median OS 34.0 vs 27.0 months and maintained PFS benefit. It reports higher hyperglycemia, stomatitis/mucosal inflammation, gastrointestinal/diarrhea, rash, and ocular toxic effects with inavolisib, and the discussion states subgroup analyses were underpowered with small numbers.",none,"Supported by final OS, safety, and limitations sections."
SUB015-CL006,SUB015,"The dedicated safety analysis is important because it describes why the regimen was feasible: hyperglycaemia, stomatitis or mucosal inflammation, rash, and diarrhoea were generally early, mostly low-grade or manageable, and controlled with concomitant medications, monitoring, interruptions, and dose modifications; however, INAVO120 excluded some patients at high hyperglycaemia risk, limiting real-world generalization `pmid-42202490`.",pmid-42202490,SUB015-C006,supported,,"The INAVO120 safety analysis focuses on hyperglycaemia, stomatitis/mucosal inflammation, rash, and diarrhoea, reporting early median onset for key events, generally low-grade/nonserious and manageable profiles, and control with medications plus dose interruptions/modifications. Eligibility required HbA1c under 6% and fasting glucose under 126 mg/dL, excluding higher-risk glycaemic profiles and limiting generalization.",none,Supported by safety-management and eligibility details.
SUB015-CL007,SUB015,"In HER2-positive preclinical models with acquired trastuzumab or lapatinib resistance, copanlisib combinations with HER2-targeted therapy produced stronger growth inhibition and restored sensitivity in resistant cells, supporting a clinical-trial rationale but not a proven patient benefit `pmid-25528022`.",pmid-25528022,SUB015-C007,supported,,"The copanlisib paper studies HER2-positive breast cancer models including trastuzumab- and lapatinib-resistant cells and reports stronger growth inhibition or restored sensitivity when combined with HER2-targeted therapy. The evidence is preclinical, providing rationale for trials but no direct patient benefit data.",none,Supported; copanlisib is PI3K pathway inhibition but not patient efficacy evidence.
SUB015-CL008,SUB015,"Separate HER2-overexpressing models showed that PI3K-mTOR inhibition can activate HER receptor and ERK signaling, and that adding lapatinib, trastuzumab, or MEK inhibition enhanced antiproliferative and pro-apoptotic effects; the same paper also warned that BEZ235 plus lapatinib caused unacceptable toxicity in mouse xenograft testing `pmid-21278786`.",pmid-21278786,SUB015-C008,supported,,"The HER2-overexpressing breast cancer model paper reports that PI3K/PI3K-mTOR inhibition suppressed AKT but induced HER receptor activation and ERK signaling. Combining BEZ235 with lapatinib, trastuzumab, or MEK inhibition enhanced antiproliferative/apoptotic or antitumor effects, while BEZ235 plus lapatinib produced unacceptable toxicity in mouse xenografts.",none,Supported by model signaling and xenograft toxicity results.
SUB015-CL009,SUB015,"In the pathway-cotargeting clinic, alpelisib plus infigratinib demonstrated feasibility at full single-agent doses but frequent interruptions or reductions, a low overall response rate, and no clear signal of synergistic efficacy in PIK3CA-FGFR dual-altered cohorts `pmid-35100734`.",pmid-35100734,SUB015-C009,supported,,"The phase Ib alpelisib-infigratinib trial escalated both agents to full single-agent doses, but 71% of patients required interruption or dose reduction. The paper reports sporadic responses/low ORR and states that exploratory dual PIK3CA-FGFR cohorts showed no clear evidence of synergistic activity.",none,Supported by abstract and trial results.
SUB015-CL010,SUB015,"Preclinical mutant-selective PI3K-alpha inhibitors such as STX-478 may improve the therapeutic window for combinations, but the xenograft data remain model-specific and should be presented as rationale rather than clinical validation `pmid-37623743`.",pmid-37623743,SUB015-C010,supported,,"The STX-478 paper is preclinical and reports mutant-selective PI3K-alpha inhibition with less metabolic dysfunction than alpelisib and improved activity/tolerability in xenograft and PDX models, including combinations with fulvestrant and/or CDK4/6 inhibitors. The data are model-specific and support clinical evaluation rather than clinical validation.",none,Supported by the preclinical scope and stated significance.
SUB015-CL011,SUB015,"Overall, combination trials should be tabulated by partner, resistance premise, disease context, prior therapy, biomarker assay, response and survival endpoints, dose intensity, adverse-event management, and whether translational specimens directly test the escape mechanism `pmid-27604488`.",pmid-27604488,SUB015-C011,partially_supported,"Combination claims that a regimen overcomes a specific PI3K-inhibitor resistance mechanism should be tied to direct translational evidence, such as paired clinical specimens or pharmacodynamic data, rather than inferred from efficacy alone.","Hanker et al. supports the mechanism-validation boundary through functional screens and limited clinical biopsies showing heterogeneous PI3K-inhibitor resistance and preliminary PIM upregulation. It does not directly support the full proposed table schema covering partner, disease context, prior therapy, biomarker assay, clinical endpoints, dose intensity, and adverse-event management.",scope_too_broad,The citation supports specimen-based caution but not the entire operational tabulation recommendation.
