subsection_id,chapter_title,subsection_title,original_subsection_path,paper_packet_path,work_order_path,rewritten_path,rewrite_status,notes
SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,artifacts/07_subsection_rewrite/01_inputs/SUB001.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB001.md,artifacts/07_subsection_rewrite/02_work_orders/SUB001.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB001.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,artifacts/07_subsection_rewrite/01_inputs/SUB002.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB002.md,artifacts/07_subsection_rewrite/02_work_orders/SUB002.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB002.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,artifacts/07_subsection_rewrite/01_inputs/SUB003.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB003.md,artifacts/07_subsection_rewrite/02_work_orders/SUB003.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB003.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,artifacts/07_subsection_rewrite/01_inputs/SUB004.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB004.md,artifacts/07_subsection_rewrite/02_work_orders/SUB004.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB004.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,artifacts/07_subsection_rewrite/01_inputs/SUB005.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB005.md,artifacts/07_subsection_rewrite/02_work_orders/SUB005.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB005.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,artifacts/07_subsection_rewrite/01_inputs/SUB006.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB006.md,artifacts/07_subsection_rewrite/02_work_orders/SUB006.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB006.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,artifacts/07_subsection_rewrite/01_inputs/SUB007.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB007.md,artifacts/07_subsection_rewrite/02_work_orders/SUB007.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB007.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,artifacts/07_subsection_rewrite/01_inputs/SUB008.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB008.md,artifacts/07_subsection_rewrite/02_work_orders/SUB008.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB008.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB009,3: Bypass Signaling And Crosstalk,Endocrine Therapy Crosstalk,artifacts/07_subsection_rewrite/01_inputs/SUB009.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB009.md,artifacts/07_subsection_rewrite/02_work_orders/SUB009.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB009.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB010,4: Cellular State And Microenvironmental Resistance,Tumor Heterogeneity And Clonal Selection,artifacts/07_subsection_rewrite/01_inputs/SUB010.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB010.md,artifacts/07_subsection_rewrite/02_work_orders/SUB010.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB010.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB011,4: Cellular State And Microenvironmental Resistance,Phenotypic Plasticity And Lineage Adaptation,artifacts/07_subsection_rewrite/01_inputs/SUB011.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB011.md,artifacts/07_subsection_rewrite/02_work_orders/SUB011.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB011.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB012,4: Cellular State And Microenvironmental Resistance,Metabolic And Microenvironmental Escape,artifacts/07_subsection_rewrite/01_inputs/SUB012.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB012.md,artifacts/07_subsection_rewrite/02_work_orders/SUB012.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB012.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
