claim_id,subsection_id,chapter_title,subsection_title,claim_text,cited_paper_ids,citation_ids,work_order_path,review_path,verification_status,notes
SUB001-CL001,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"That result supports PIK3CA mutation as a selection biomarker for approved alpelisib use, but it does not by itself specify why an individual tumor later escapes treatment `pmid-31091374`.",pmid-31091374,SUB001-C001,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL002,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"This establishes why a mutant pathway node was attractive for drug development and patient stratification, while leaving open which co-alterations or adaptive states determine incomplete response `pmid-24608574`.",pmid-24608574,SUB001-C002,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL003,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"Regulatory evidence then narrows the clinical claim: the FDA approval summary defines the indication as HR-positive, HER2-negative, PIK3CA-mutated advanced or metastatic breast cancer detected by an FDA-approved test after progression on or after endocrine-based therapy `pmid-33168657`.",pmid-33168657,SUB001-C003,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL004,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"The same analysis showed heterogeneity among PIK3CA-altered tumors, including differences by tumor mutational burden, PTEN co-mutation, PIK3CA amplification, and multiple PIK3CA mutations, so PIK3CA positivity should not be read as uniform pathway dependence `pmid-41967638`.",pmid-41967638,SUB001-C004,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL005,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"In SANDPIPER, ctDNA-based analysis of taselisib plus fulvestrant suggested that multiple PIK3CA mutation clonality further stratified outcomes, with clonal multiple mutations associated with greater PI3K inhibitor sensitivity than subclonal patterns `pmid-37101291`.",pmid-37101291,SUB001-C005,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL006,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"Noncanonical PIK3CA alterations add similar nuance: C-terminal frameshift mutations activated AKT and S6 signaling in engineered models and were sensitive to PI3K-alpha inhibition, but such model-system evidence does not automatically define clinical resistance behavior `pmid-32929011`.",pmid-32929011,SUB001-C006,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL007,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"In NCI-MATCH subprotocol I, taselisib in PIK3CA-mutated advanced solid tumors outside breast and squamous lung cancer produced limited objective activity despite selecting for activating PIK3CA mutations, suggesting that histology, co-alterations, and treatment context matter `pmid-35138919`.",pmid-35138919,SUB001-C007,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL008,SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,"A six-patient recurrent or advanced cervical cancer alpelisib series suggested possible disease control in PIK3CA-mutated cases, but the uncontrolled size makes it hypothesis-generating rather than definitive `pmid-35311394`.",pmid-35311394,SUB001-C008,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL001,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"The PIK3CA-mutated cohort had a median progression-free survival of about 11.0 months with alpelisib plus fulvestrant versus 5.7 months with placebo plus fulvestrant, establishing a clinically meaningful biomarker-selected treatment effect rather than a universal PI3K-pathway claim `pmid-31091374`.",pmid-31091374,SUB002-C001,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL002,SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,"Thus, PFS benefit is the cleanest efficacy claim from SOLAR-1, whereas OS interpretation is more cautious and shaped by subsequent therapy and trial design `pmid-33246021`.",pmid-33246021,SUB002-C003,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
