batch_id,subsection_id,batch_index,candidate_count,context_path,batch_path,review_status,assigned_worker,output_path,notes
SUB001-B001,SUB001,1,80,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B001.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B001.csv,Reviewed batch merged into SQLite.
SUB001-B002,SUB001,2,80,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B002.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B002.csv,Reviewed batch merged into SQLite.
SUB001-B003,SUB001,3,39,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B003.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B003.csv,Reviewed batch merged into SQLite.
SUB002-B001,SUB002,1,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B001.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B001.csv,Reviewed batch merged into SQLite.
SUB002-B002,SUB002,2,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B002.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B002.csv,Reviewed batch merged into SQLite.
SUB002-B003,SUB002,3,39,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B003.csv,review_complete,codex_llm_worker_A,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B003.csv,Reviewed batch merged into SQLite.
SUB003-B001,SUB003,1,50,artifacts/03_semantic_abstract_review/02_context/SUB003.md,artifacts/03_semantic_abstract_review/03_batches/SUB003-B001.csv,review_complete,codex_llm_worker_B,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB003-B001.csv,Reviewed batch merged into SQLite.
SUB004-B001,SUB004,1,25,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B001.csv,review_complete,codex_llm_worker_B,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B001.csv,Reviewed batch merged into SQLite.
SUB005-B001,SUB005,1,35,artifacts/03_semantic_abstract_review/02_context/SUB005.md,artifacts/03_semantic_abstract_review/03_batches/SUB005-B001.csv,review_complete,codex_llm_worker_B,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB005-B001.csv,Reviewed batch merged into SQLite.
SUB006-B001,SUB006,1,80,artifacts/03_semantic_abstract_review/02_context/SUB006.md,artifacts/03_semantic_abstract_review/03_batches/SUB006-B001.csv,review_complete,codex_llm_worker_B,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB006-B001.csv,Reviewed batch merged into SQLite.
SUB006-B002,SUB006,2,59,artifacts/03_semantic_abstract_review/02_context/SUB006.md,artifacts/03_semantic_abstract_review/03_batches/SUB006-B002.csv,review_complete,codex_llm_worker_B,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB006-B002.csv,Reviewed batch merged into SQLite.
SUB007-B001,SUB007,1,80,artifacts/03_semantic_abstract_review/02_context/SUB007.md,artifacts/03_semantic_abstract_review/03_batches/SUB007-B001.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB007-B001.csv,Reviewed batch merged into SQLite.
SUB007-B002,SUB007,2,50,artifacts/03_semantic_abstract_review/02_context/SUB007.md,artifacts/03_semantic_abstract_review/03_batches/SUB007-B002.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB007-B002.csv,Reviewed batch merged into SQLite.
SUB008-B001,SUB008,1,80,artifacts/03_semantic_abstract_review/02_context/SUB008.md,artifacts/03_semantic_abstract_review/03_batches/SUB008-B001.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB008-B001.csv,Reviewed batch merged into SQLite.
SUB008-B002,SUB008,2,33,artifacts/03_semantic_abstract_review/02_context/SUB008.md,artifacts/03_semantic_abstract_review/03_batches/SUB008-B002.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB008-B002.csv,Reviewed batch merged into SQLite.
SUB009-B001,SUB009,1,80,artifacts/03_semantic_abstract_review/02_context/SUB009.md,artifacts/03_semantic_abstract_review/03_batches/SUB009-B001.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB009-B001.csv,Reviewed batch merged into SQLite.
SUB009-B002,SUB009,2,61,artifacts/03_semantic_abstract_review/02_context/SUB009.md,artifacts/03_semantic_abstract_review/03_batches/SUB009-B002.csv,review_complete,codex_llm_worker_C,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB009-B002.csv,Reviewed batch merged into SQLite.
