batch_id,subsection_id,batch_index,candidate_count,context_path,batch_path,review_status,assigned_worker,output_path,notes
SUB001-B001,SUB001,1,80,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B001.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B001.csv,Reviewed batch merged into SQLite.
SUB001-B002,SUB001,2,80,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B002.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B002.csv,Reviewed batch merged into SQLite.
SUB001-B003,SUB001,3,80,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B003.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B003.csv,Reviewed batch merged into SQLite.
SUB001-B004,SUB001,4,7,artifacts/03_semantic_abstract_review/02_context/SUB001.md,artifacts/03_semantic_abstract_review/03_batches/SUB001-B004.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB001-B004.csv,Reviewed batch merged into SQLite.
SUB002-B001,SUB002,1,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B001.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B001.csv,Reviewed batch merged into SQLite.
SUB002-B002,SUB002,2,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B002.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B002.csv,Reviewed batch merged into SQLite.
SUB002-B003,SUB002,3,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B003.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B003.csv,Reviewed batch merged into SQLite.
SUB002-B004,SUB002,4,80,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B004.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B004.csv,Reviewed batch merged into SQLite.
SUB002-B005,SUB002,5,52,artifacts/03_semantic_abstract_review/02_context/SUB002.md,artifacts/03_semantic_abstract_review/03_batches/SUB002-B005.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB002-B005.csv,Reviewed batch merged into SQLite.
SUB003-B001,SUB003,1,16,artifacts/03_semantic_abstract_review/02_context/SUB003.md,artifacts/03_semantic_abstract_review/03_batches/SUB003-B001.csv,review_complete,subagent:01a06508-45d1-7d51-b159-ca14c13a78e8,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB003-B001.csv,Reviewed batch merged into SQLite.
SUB004-B001,SUB004,1,80,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B001.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B001.csv,Reviewed batch merged into SQLite.
SUB004-B002,SUB004,2,80,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B002.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B002.csv,Reviewed batch merged into SQLite.
SUB004-B003,SUB004,3,80,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B003.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B003.csv,Reviewed batch merged into SQLite.
SUB004-B004,SUB004,4,80,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B004.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B004.csv,Reviewed batch merged into SQLite.
SUB004-B005,SUB004,5,80,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B005.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B005.csv,Reviewed batch merged into SQLite.
SUB004-B006,SUB004,6,10,artifacts/03_semantic_abstract_review/02_context/SUB004.md,artifacts/03_semantic_abstract_review/03_batches/SUB004-B006.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB004-B006.csv,Reviewed batch merged into SQLite.
SUB005-B001,SUB005,1,80,artifacts/03_semantic_abstract_review/02_context/SUB005.md,artifacts/03_semantic_abstract_review/03_batches/SUB005-B001.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB005-B001.csv,Reviewed batch merged into SQLite.
SUB005-B002,SUB005,2,80,artifacts/03_semantic_abstract_review/02_context/SUB005.md,artifacts/03_semantic_abstract_review/03_batches/SUB005-B002.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB005-B002.csv,Reviewed batch merged into SQLite.
SUB005-B003,SUB005,3,80,artifacts/03_semantic_abstract_review/02_context/SUB005.md,artifacts/03_semantic_abstract_review/03_batches/SUB005-B003.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB005-B003.csv,Reviewed batch merged into SQLite.
SUB005-B004,SUB005,4,80,artifacts/03_semantic_abstract_review/02_context/SUB005.md,artifacts/03_semantic_abstract_review/03_batches/SUB005-B004.csv,review_complete,batch_worker,artifacts/03_semantic_abstract_review/04_reviewed_batches/SUB005-B004.csv,Reviewed batch merged into SQLite.
