paper_id,pmid,pmcid,doi,title,source_format,raw_chars,narrative_chars,retention_ratio,kept_section_count,excluded_section_count,excluded_char_count,chunk_count,warning_flags,review_recommendation,kept_section_titles,excluded_section_titles
pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,pmc_xml,19914,12981,0.652,2,8,5252,20,few_kept_sections;possible_abstract_or_body_only,inspect_for_possible_overfiltering,Abstract; Introduction,Methods [methods_heading]; Renilla Luciferase [inside_methods_block]; PTEN#1 [inside_methods_block]; PTEN#2 [inside_methods_block]; Patient-derived xenografts and IHC [inside_methods_block]; Whole genome and whole exome sequencing [inside_methods_block]; Targeted exome sequencing (MSK-IMPACT) [inside_methods_block]; Statistical analysis [methods_heading]
pmid-35022207,35022207,PMC7612218,10.1158/2159-8290.CD-21-1411,Precision Targeting of Mutant PI3Kα in Cancer by Selective Degradation.,pmc_xml,11051,10992,0.995,1,0,0,17,few_kept_sections;possible_abstract_or_body_only,inspect_for_possible_overfiltering,Introduction,
pmid-32817061,32817061,PMC7437706,10.1136/esmoopen-2020-000890,PIK3CA mutation inhibition in hormone receptor-positive breast cancer: time has come.,pmc_xml,8731,8715,0.998,1,0,0,12,low_narrative_chars;few_kept_sections;few_chunks;possible_abstract_or_body_only,inspect_for_possible_overfiltering,Introduction,
pmid-39935426,39935426,PMC11810462,10.20517/cdr.2024.169,Optimizing therapeutic approaches for HR+/HER2- advanced breast cancer: clinical perspectives on biomarkers and treatment strategies post-CDK4/6 inhibitor progression.,pmc_xml,48627,19389,0.399,10,11,24160,32,,pass,Abstract; Introduction; RESISTANCE: WHICH ARE THE BEST BIOMARKERS AND WHICH ARE THE OPTIONS; RECOMMENDATIONS: FROM EVIDENCE TO CLINICAL PRACTICE; UPCOMING BIOMARKERS AND FUTURE THERAPEUTIC DIRECTIONS; CDK7; HRD and PALB2 mutations; The next generation of CDKi: beyond CDK4/6i; KAT6; Discussion,METHODS [methods_heading]; MOLECULAR BREAST CANCER SUBTYPES [inside_methods_block]; CLINICAL BIOMARKERS [inside_methods_block]; PIK3CA [inside_methods_block]; ESR1 [inside_methods_block]; ERBB2 (HER2) [inside_methods_block]; BRCA1 and BRCA2 [inside_methods_block]; Retinoblastoma [inside_methods_block]; Cyclin D [inside_methods_block]; CDK2-Cyclin E signaling [inside_methods_block]; TP53 [inside_methods_block]
pmid-32869930,32869930,PMC7648336,10.1634/theoncologist.2020-0449,Biomarkers in Breast Cancer: An Integrated Analysis of Comprehensive Genomic Profiling and PD-L1 Immunohistochemistry Biomarkers in 312 Patients with Breast Cancer.,pdf,33703,14765,0.438,8,7,16170,25,,pass,Abstract; Introduction; Breast Carcinoma Cohort; Genomic Landscape of Patients with Breast Carcinoma; © AlphaMed Press 2020; Immunotherapy Biomarkers Relationship; Discussion; Discussion,PD-L1 SP142 CDx Immunohistochemistry Testing [protocol_or_procedural_section]; Comprehensive Genomic Profiling of Breast Carcinoma Samples [inside_methods_block]; Integrative Analysis of CGP and PD-L1 Biomarkers in Breast Carcinoma [inside_methods_block]; Patient Cohort [inside_methods_block]; Clinically Actionable Biomarkers Detected by CGP and PD-L1 Immunohistochemistry [inside_methods_block]; © AlphaMed Press 2020 [inside_methods_block]; © AlphaMed Press 2020 [after_discussion_end_matter_guard]
pmid-34544753,34544753,PMC9762331,10.1158/2159-8290.CD-21-0072,RTK-Dependent Inducible Degradation of Mutant PI3Kα Drives GDC-0077 (Inavolisib) Efficacy.,pmc_xml,71136,31334,0.440,9,22,27009,49,,pass,Abstract; Introduction; PI3K Inhibitor Potency in PIK3CA-Mutant Cells; In Vivo Efficacy of GDC-0077; Taselisib and GDC-0077 Induce Mutant p110a Degradation; p85b Potentiates p110a Degradation by Recruiting p110a to the Membrane; Taselisib- and GDC-0077–Induced Mutant p110a Degradation Is Dependent on RTK Activity; p110a Mutant–Degrading Inhibitors Provide More Sustained Benefit in HER2-Positive versus HER2-Negative p110a-Mutant Cancers; Discussion,Chemical Reagents [after_discussion_end_matter_guard]; Antibody Reagents [after_discussion_end_matter_guard]; pPRAS40 ELISA [after_discussion_end_matter_guard]; Viability Assay CellTiter-Glo [after_discussion_end_matter_guard]; Nucleosome ELISA [after_discussion_end_matter_guard]; Cell Lines and Cell Culture [methods_heading]; CRISPR Engineering of HCC1954 Cells [inside_methods_block]; siRNA Transfection [inside_methods_block]; Western Blots [inside_methods_block]; Subcellular Fractionation [inside_methods_block]; Immunoprecipitation and Pulldown [inside_methods_block]; RNA Isolation and PIK3CA Allele–Specific qRT-PCR [inside_methods_block]; Intracellular Drug Concentration [inside_methods_block]; PI3K ADP-Glo Assays for Ki Measurement [inside_methods_block]; Kinetic Solubility [inside_methods_block]; Plasma Protein Binding [inside_methods_block]; Madin-Darby Canine Kidney Cell Permeability [inside_methods_block]; Drug Half-Life in Vivo [inside_methods_block]; Pulse-Chase [inside_methods_block]; Animal Studies [methods_heading]; Mass Spectrometry [inside_methods_block]; Authors' Disclosures [inside_methods_block]
pmid-37044095,37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,pmc_xml,94355,42311,0.448,8,42,51340,72,,pass,Abstract; Introduction; Parallel in vivo screens identify NF1 loss as a resistance-enhancing event in PI3Kα inhibition; Loss of NF1 reduces sensitivity to PI3Kα inhibition in vitro and in vivo; NF1-depleted cells have reduced reactive oxygen species (ROS) levels and lower mitochondrial respiration; NAC treatment circumvents resistance to PI3Kα inhibition; NAC synergizes with PI3Kα inhibition and dampens mTOR signaling; Discussion,Limitations of the study [after_discussion_end_matter_guard]; Key resources table [end_matter_or_non_narrative_heading]; Lead contact [after_discussion_end_matter_guard]; Material availability [after_discussion_end_matter_guard]; Cell lines and organoids [methods_heading]; Animal experiments [inside_methods_block]; Transgenic animals [inside_methods_block]; NF1 mutations in public breast cancer datasets [inside_methods_block]; Doubling time calculation [inside_methods_block]; Drugs [inside_methods_block]; Generation of stable shRNA cell lines [end_matter_or_non_narrative_heading]; Cloning of CRISPR vectors for NF1 KO [inside_methods_block]; Knockout with transient vectors [inside_methods_block]; Generation of lentivirus [inside_methods_block]; Infection of T47D and MCF7 cancer cells [inside_methods_block]; Infection of PDX-derived cancer cells [inside_methods_block]; D drug response of organoids [after_discussion_end_matter_guard]; Colony formation assay [inside_methods_block]; Cell cycle analysis [inside_methods_block]; Quantification of MitoSOX and ROS-DCFDA [inside_methods_block]; Quantification of mitochondrial content [inside_methods_block]; Quantification of GSSG/GSH levels [inside_methods_block]; Seahorse experiments [inside_methods_block]; Immunoblotting [inside_methods_block]; Quantitative real-time PCR [inside_methods_block]; Tracking of indels by decomposition [inside_methods_block]; Sample preparation [inside_methods_block]; Data acquisition of phosphorylated peptides [inside_methods_block]; Data acquisition of TMT peptides [inside_methods_block]; Phosphoproteome data analysis [inside_methods_block]; TMT data analysis [inside_methods_block]; Analysis [inside_methods_block]; Quantitative insertion site sequencing [inside_methods_block]; Mapping and transposon integration sites [inside_methods_block]; Integration site quantification [inside_methods_block]; Association of integration sites with genes [inside_methods_block]; Enrichment of unique integration sites [inside_methods_block]; Cell RNA isolation and library preparation [inside_methods_block]; Tumor RNA isolation and library preparation [inside_methods_block]; Alignment and differential gene expression [inside_methods_block]; Motif activity response analysis [after_discussion_end_matter_guard]; Quantification and statistical analysis [inside_methods_block]
pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,pmc_xml,50752,23226,0.458,6,14,24139,39,,pass,Abstract; Introduction; Safety Findings; Response evaluation; ctDNA and tissue analyses of pre- and post-progression samples; Discussion,"Study population [methods_heading]; Dose escalation and MTD [inside_methods_block]; Clinical trial eligibility [after_discussion_end_matter_guard]; Study design [methods_heading]; Safety and radiographic assessments [after_discussion_end_matter_guard]; Tumor tissue sequencing [inside_methods_block]; Cell-free DNA extraction, library preparation, and sequencing [inside_methods_block]; Bioinformatics analysis and variant detection [inside_methods_block]; ctDNA fraction and cancer cell fraction assessment [inside_methods_block]; Mutational signatures from hypermutated patients [after_discussion_end_matter_guard]; cfDNA digital droplet PCR [inside_methods_block]; Generation of ESR1 Y537S knock in MCF7 cell line [inside_methods_block]; Animal Studies [methods_heading]; Statistics and Reproducibility [methods_heading]"
pmid-39851969,39851969,PMC11763720,10.3390/curroncol32010053,Systematic Review and Network Meta-Analysis on Treating Hormone Receptor-Positive Metastatic Breast Cancer After CDK4/6 Inhibitors.,pmc_xml,30070,14181,0.472,4,15,16473,21,,pass,Abstract; Introduction; Discussion; Discussion,Materials and Methods [methods_heading]; Selection Criteria [inside_methods_block]; Information Sources [inside_methods_block]; Search Strategy [inside_methods_block]; Data Extraction Process and Data Items [inside_methods_block]; Outcomes [methods_heading]; Risk of Bias [inside_methods_block]; Statistical Analysis [methods_heading]; Study Selection and Study Characteristics [inside_methods_block]; Quality and Risk of Bias [inside_methods_block]; Therapeutic Subgroup Comparisons [inside_methods_block]; Antibody Drug Conjugates: HER2-Low Population [inside_methods_block]; Drugs Acting on the PI3K/AKT/mTOR Pathway [inside_methods_block]; SERDs [inside_methods_block]; Exploratory Analysis: Comparison of All Agents with Ribociclib [inside_methods_block]
pmid-37501404,37501404,PMC10701778,10.1002/1878-0261.13500,Activation of the EGFR/PI3K/AKT pathway limits the efficacy of trametinib treatment in head and neck cancer.,pmc_xml,50148,24717,0.493,10,15,14082,38,,pass,Abstract; Introduction; Bioinformatical analysis of cell lines and TCGA patients; Trametinib treatment leads to YAP1 activation and EGFR upregulation; EGFR limits trametinib efficacy by hyperactivating the PI3K/AKT pathway; Preventing PI3K/AKT hyperactivation enhances trametinib efficacy; Dual treatment with trametinib and BYL719 prolongs PDX growth arrest in mice; Treatment with trametinib and BYL719 in a syngeneic murine model leads to tumor shrinkage; Discussion; Discussion,Cell lines and chemical compounds [methods_heading]; Antibodies and reagents [inside_methods_block]; IC50 and synergy assay [inside_methods_block]; Phospho‐RTK array [inside_methods_block]; Western blotting [inside_methods_block]; Real‐time quantitative PCR [inside_methods_block]; Immunofluorescence [methods_heading]; Staining of tumor tissue: immunohistochemistry and immunofluorescence [inside_methods_block]; RNA silencing [inside_methods_block]; Cell proliferation assay [methods_heading]; In vivo experiments [inside_methods_block]; Statistical analysis [methods_heading]; Conflict of interest [end_matter_or_non_narrative_heading]; Author contributions [end_matter_or_non_narrative_heading]; Peer review [after_discussion_end_matter_guard]
