subsection_id,paper_id,PMID,PMCID,DOI,title,journal,publication_year,article_type,abstract_review_decision,evidence_role,draft_access_status,verified_access_status,venue_trust_label,source_query_ids,reason
SUB001,pmid-19671852,19671852,unknown,10.1158/1078-0432.CCR-09-0632,PIK3CA mutation associates with improved outcome in breast cancer.,Clinical cancer research : an official journal of the American Association for Cancer Research,2009,"Journal Article;Research Support, Non-U.S. Gov't",include_context,clinical_or_translational,unknown,abstract_available,unknown,SUB001-Q002;SUB001-Q003,Breast cancer PIK3CA outcome association helps frame biomarker relevance but is not claim-direct evidence for PI3K-alpha inhibition or resistance.
SUB001,pmid-22520259,22520259,unknown,10.1016/j.bmcl.2012.03.090,"Identification of ETP-46321, a potent and orally bioavailable PI3K α, δ inhibitor.",Bioorganic & medicinal chemistry letters,2012,"Journal Article;Research Support, Non-U.S. Gov't",include_context,review_or_background,unknown,abstract_available,unknown,SUB001-Q001,"Useful PI3K/PIK3CA therapeutic-rationale context, but not direct resistance evidence."
SUB001,pmid-22994502,22994502,unknown,10.1517/13543784.2012.726218,Everolimus in the treatment of hormone receptor-positive breast cancer.,Expert opinion on investigational drugs,2012,"Journal Article;Research Support, Non-U.S. Gov't;Review",include_context,review_or_background,unknown,abstract_available,unknown,SUB001-Q002;SUB001-Q003,"Useful PI3K/PIK3CA therapeutic-rationale context, but not direct resistance evidence."
SUB001,pmid-23674897,23674897,PMC3652562,10.2147/OTT.S41643,PIK3CA gene mutation associated with poor prognosis of lung adenocarcinoma.,OncoTargets and therapy,2013,Journal Article,include_context,clinical_or_translational,unknown,pmc_available,unknown,SUB001-Q002;SUB001-Q003,"PIK3CA mutation prognostic association is useful rationale context, but the abstract does not connect alterations to PI3K-alpha treatment response."
SUB001,pmid-23785428,23785428,PMC3681782,10.1371/journal.pone.0065479,PIK3CA activating mutation in colorectal carcinoma: associations with molecular features and survival.,PloS one,2013,"Journal Article;Research Support, Non-U.S. Gov't",include_context,clinical_or_translational,unknown,pmc_available,unknown,SUB001-Q002;SUB001-Q003,"PIK3CA mutation/prognosis data support target-rationale background but do not directly test PI3K-alpha inhibitor selection, response, or resistance."
SUB001,pmid-24013662,24013662,PMC3789203,10.1038/bcj.2013.37,A novel selective small-molecule PI3K inhibitor is effective against human multiple myeloma in vitro and in vivo.,Blood cancer journal,2013,Journal Article,include_context,review_or_background,unknown,pmc_available,unknown,SUB001-Q001,"Useful PI3K/PIK3CA therapeutic-rationale context, but not direct resistance evidence."
SUB001,pmid-25192370,25192370,PMC4054885,10.1186/bcr3605,PIK3CA mutations in breast cancer: reconciling findings from preclinical and clinical data.,Breast cancer research : BCR,2014,"Journal Article;Research Support, Non-U.S. Gov't;Review",include_context,review_or_background,unknown,pmc_available,unknown,SUB001-Q002;SUB001-Q003,"Useful background on PIK3CA alteration selection, PI3K pathway biology, or alpelisib treatment landscape."
SUB001,pmid-25199759,25199759,unknown,10.1200/JCO.2014.55.7876,PIK3CA mutations are associated with lower rates of pathologic complete response to anti-human epidermal growth factor receptor 2 (her2) therapy in primary HER2-overexpressing breast cancer.,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,2014,"Journal Article;Research Support, Non-U.S. Gov't",include_context,clinical_or_translational,unknown,abstract_available,unknown,SUB001-Q002;SUB001-Q003,Breast cancer PIK3CA association may contextualize biomarker selection but is not resistance evidence.
SUB001,pmid-26067136,26067136,unknown,10.1097/PAI.0000000000000195,PIK3CA Mutations are Common in Many Tumor Types and are Often Associated With Other Driver Mutations.,Applied immunohistochemistry & molecular morphology : AIMM,2016,Journal Article,include_context,clinical_or_translational,unknown,abstract_available,unknown,SUB001-Q002,"Large genotyping series supports PIK3CA alteration prevalence and co-mutation context, not PI3K-alpha treatment response."
SUB001,pmid-26540293,26540293,PMC4634768,10.1371/journal.pone.0141763,Analysis of PIK3CA Mutations and Activation Pathways in Triple Negative Breast Cancer.,PloS one,2015,"Journal Article;Research Support, Non-U.S. Gov't",include_context,clinical_or_translational,unknown,pmc_available,unknown,SUB001-Q002;SUB001-Q003,Breast cancer PIK3CA association may contextualize biomarker selection but is not resistance evidence.
SUB001,pmid-26830312,26830312,unknown,10.1016/j.drup.2015.11.001,Treatment strategies for advanced hormone receptor-positive and human epidermal growth factor 2-negative breast cancer: the role of treatment order.,Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,2015,"Journal Article;Research Support, Non-U.S. Gov't;Review",include_context,review_or_background,unknown,abstract_available,unknown,SUB001-Q002;SUB001-Q003,"Useful background on PIK3CA alteration selection, PI3K pathway biology, or alpelisib treatment landscape."
SUB001,pmid-27174596,27174596,PMC4869259,10.1038/ncomms11579,Heterogeneity and clinical significance of ESR1 mutations in ER-positive metastatic breast cancer patients receiving fulvestrant.,Nature communications,2016,"Clinical Trial, Phase II;Journal Article;Multicenter Study;Randomized Controlled Trial;Research Support, N.I.H., Extramural",include_context,clinical_or_translational,unknown,pmc_available,unknown,SUB001-Q002;SUB001-Q003,Breast cancer PIK3CA association may contextualize biomarker selection but is not resistance evidence.
