subsection_id,chapter_title,subsection_title,normalized_path,assembled_section_path,citation_count,assembly_status,notes
SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,artifacts/08_terminology_normalization/03_normalized_subsections/SUB001.md,artifacts/09_review_assembly/02_sections/SUB001.assembled.md,8,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,artifacts/08_terminology_normalization/03_normalized_subsections/SUB002.md,artifacts/09_review_assembly/02_sections/SUB002.assembled.md,11,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,artifacts/08_terminology_normalization/03_normalized_subsections/SUB003.md,artifacts/09_review_assembly/02_sections/SUB003.assembled.md,9,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,artifacts/08_terminology_normalization/03_normalized_subsections/SUB004.md,artifacts/09_review_assembly/02_sections/SUB004.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,artifacts/08_terminology_normalization/03_normalized_subsections/SUB005.md,artifacts/09_review_assembly/02_sections/SUB005.assembled.md,3,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,artifacts/08_terminology_normalization/03_normalized_subsections/SUB006.md,artifacts/09_review_assembly/02_sections/SUB006.assembled.md,6,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,artifacts/08_terminology_normalization/03_normalized_subsections/SUB007.md,artifacts/09_review_assembly/02_sections/SUB007.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,artifacts/08_terminology_normalization/03_normalized_subsections/SUB008.md,artifacts/09_review_assembly/02_sections/SUB008.assembled.md,9,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB009,3: Bypass Signaling And Crosstalk,Endocrine Therapy Crosstalk,artifacts/08_terminology_normalization/03_normalized_subsections/SUB009.md,artifacts/09_review_assembly/02_sections/SUB009.assembled.md,6,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB010,4: Cellular State And Microenvironmental Resistance,Tumor Heterogeneity And Clonal Selection,artifacts/08_terminology_normalization/03_normalized_subsections/SUB010.md,artifacts/09_review_assembly/02_sections/SUB010.assembled.md,5,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB011,4: Cellular State And Microenvironmental Resistance,Phenotypic Plasticity And Lineage Adaptation,artifacts/08_terminology_normalization/03_normalized_subsections/SUB011.md,artifacts/09_review_assembly/02_sections/SUB011.assembled.md,6,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB012,4: Cellular State And Microenvironmental Resistance,Metabolic And Microenvironmental Escape,artifacts/08_terminology_normalization/03_normalized_subsections/SUB012.md,artifacts/09_review_assembly/02_sections/SUB012.assembled.md,9,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB013,5: Clinical Trials As Resistance Evidence,Positive Trials And Durable-Benefit Limits,artifacts/08_terminology_normalization/03_normalized_subsections/SUB013.md,artifacts/09_review_assembly/02_sections/SUB013.assembled.md,9,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB014,5: Clinical Trials As Resistance Evidence,"Failed, Negative, Or Limited Trials",artifacts/08_terminology_normalization/03_normalized_subsections/SUB014.md,artifacts/09_review_assembly/02_sections/SUB014.assembled.md,11,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB015,5: Clinical Trials As Resistance Evidence,Combination Trials Designed To Overcome Resistance,artifacts/08_terminology_normalization/03_normalized_subsections/SUB015.md,artifacts/09_review_assembly/02_sections/SUB015.assembled.md,11,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB016,6: Next-Generation Inhibitors And Future Resistance Questions,Mutant-Selective And Allosteric PI3K-alpha Inhibitors,artifacts/08_terminology_normalization/03_normalized_subsections/SUB016.md,artifacts/09_review_assembly/02_sections/SUB016.assembled.md,8,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB017,6: Next-Generation Inhibitors And Future Resistance Questions,Biomarker Strategy And Patient Selection,artifacts/08_terminology_normalization/03_normalized_subsections/SUB017.md,artifacts/09_review_assembly/02_sections/SUB017.assembled.md,16,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB018,6: Next-Generation Inhibitors And Future Resistance Questions,Verification Priorities For The Next Workflow Stages,artifacts/08_terminology_normalization/03_normalized_subsections/SUB018.md,artifacts/09_review_assembly/02_sections/SUB018.assembled.md,14,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
