subsection_id,query_id,query,raw_hit_count,collected_count,truncated_by_constraint,sample_size,sample_strategy,sampled_on_scope_count,sampled_noise_count,estimated_precision,dominant_noise_classes,missing_concepts,recall_signals,decision,revision_rationale
SUB001,SUB001-Q001,"(PIK3CA[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR taselisib[Title/Abstract]) AND (breast cancer[Title/Abstract] OR solid tumor[Title/Abstract])",283,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB002,SUB002-Q001,"(alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR SOLAR-1[Title/Abstract] OR BYLieve[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND (trial[Title/Abstract] OR survival[Title/Abstract] OR safety[Title/Abstract] OR resistance[Title/Abstract])",243,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB003,SUB003-Q001,"(inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR INAVO120[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract])",51,51,false,51,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB004,SUB004-Q001,"(""STX-478""[Title/Abstract] OR STX478[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR RLy2608[Title/Abstract] OR ""mutant-selective""[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract])",25,25,false,25,all_results,unknown,unknown,unknown,unknown,unknown,no_draft_targets,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB005,SUB005-Q001,"(PTEN[Title/Abstract] OR ""p110 beta""[Title/Abstract] OR p110beta[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract]",35,35,false,35,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB006,SUB006-Q001,"(PIK3CA[Title/Abstract] AND (secondary[Title/Abstract] OR acquired[Title/Abstract] OR resistance[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""RLY-2608""[Title/Abstract]))",140,140,false,140,all_results,unknown,unknown,unknown,unknown,unknown,no_draft_targets,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB007,SUB007-Q001,"((AKT[Title/Abstract] OR mTOR[Title/Abstract] OR mTORC1[Title/Abstract] OR pS6[Title/Abstract] OR ""4E-BP1""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",130,130,false,130,all_results,unknown,unknown,unknown,unknown,unknown,no_draft_targets,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB008,SUB008-Q001,"((HER2[Title/Abstract] OR ERBB[Title/Abstract] OR EGFR[Title/Abstract] OR IGF1R[Title/Abstract] OR MAPK[Title/Abstract] OR ERK[Title/Abstract] OR MEK[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",113,113,false,113,all_results,unknown,unknown,unknown,unknown,unknown,no_draft_targets,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB009,SUB009-Q001,((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR BYL719[Title/Abstract]) AND (endocrine[Title/Abstract] OR ESR1[Title/Abstract] OR CDK4[Title/Abstract] OR CDK6[Title/Abstract]) AND (resistance[Title/Abstract] OR progression[Title/Abstract] OR trial[Title/Abstract])),144,144,false,144,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB010,SUB010-Q001,"((ctDNA[Title/Abstract] OR biopsy[Title/Abstract] OR autopsy[Title/Abstract] OR ""patient-derived""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",53,53,false,53,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=1;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB011,SUB011-Q001,"((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR taselisib[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND (combination[Title/Abstract] OR trial[Title/Abstract] OR phase[Title/Abstract]) AND (resistance[Title/Abstract] OR PIK3CA[Title/Abstract]))",293,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
