subsection_id,paper_id,PMID,PMCID,DOI,title,why_full_text_needed,download_priority,user_action
SUB007,pmid-23903756,23903756,PMC3935768,10.1126/scitranslmed.3005747,mTORC1 inhibition is required for sensitivity to PI3K p110α inhibitors in PIK3CA-mutant breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-24249715,24249715,PMC3902650,10.1158/1535-7163.MCT-13-0518,Enhanced PI3K p110α signaling confers acquired lapatinib resistance that can be effectively reversed by a p110α-selective PI3K inhibitor.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-24263233,24263233,PMC3849569,10.1038/emm.2013.115,Phosphoproteomic analysis identifies activated MET-axis PI3K/AKT and MAPK/ERK in lapatinib-resistant cancer cell line.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-24879796,24879796,unknown,10.1158/1078-0432.CCR-13-2769,Targeting PI3K/mTOR overcomes resistance to HER2-targeted therapy independent of feedback activation of AKT.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB005;SUB010,pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-25528022,25528022,unknown,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007;SUB008,pmid-25873175,25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001,pmid-25877889,25877889,PMC4433148,10.1126/scitranslmed.aaa4442,PI3K inhibition results in enhanced estrogen receptor function and dependence in hormone receptor-positive breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB005;SUB007;SUB008,pmid-27048245,27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB001;SUB002;SUB009,pmid-27126994,27126994,PMC5085926,10.1158/1078-0432.CCR-16-0134,"A Phase Ib Study of Alpelisib (BYL719), a PI3Kα-Specific Inhibitor, with Letrozole in ER+/HER2- Metastatic Breast Cancer.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
