claim_id,subsection_id,chapter_title,subsection_title,claim_text,cited_paper_ids,citation_ids,work_order_path,review_path,verification_status,notes
SUB001-CL001,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","That result made PIK3CA mutation status, as detected by an approved assay, a treatment-selection biomarker for the approved regimen rather than a resistance mechanism in its own right `pmid-33168657`.",pmid-33168657,SUB001-C001,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL002,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","In the linked clinico-genomic cohort, alpelisib plus fulvestrant was associated with longer real-world PFS than fulvestrant alone in HR-positive HER2-negative disease, including patients with non-SOLAR-1 pathogenic PIK3CA mutations, but the authors also emphasized retrospective design, evolving standards of care, and confounding by line of therapy and prior CDK4/6 inhibitor exposure `pmid-36321996`.",pmid-36321996,SUB001-C002,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL003,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","The practical implication is that a positive result is a route to a drug-regimen decision, whereas a negative or narrow hotspot result may reflect assay design or sample constraints rather than absence of pathway relevance `pmid-36428975`.",pmid-36428975,SUB001-C003,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL004,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","A clinical review similarly places PIK3CA testing within treatment planning for locally advanced or metastatic HR-positive HER2-negative disease after endocrine progression, reinforcing the idea that the biomarker functions as an access point for alpelisib rather than a mechanistic diagnosis of resistance `pmid-33575071`.",pmid-33575071,SUB001-C004,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL005,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","In a phase I/II trial of alpelisib plus nab-paclitaxel in HER2-negative metastatic breast cancer, patients with PIK3CA-mutated disease had higher clinical benefit rate and longer PFS than those without detected PIK3CA mutation, but the single-arm design meant the relative contribution of alpelisib, chemotherapy, subtype, and patient selection could not be separated `pmid-33602685`.",pmid-33602685,SUB001-C005,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL006,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","In the prospective German PRAEGNANT real-world analysis, alpelisib plus fulvestrant after CDK4/6 inhibitor exposure produced outcomes that were somewhat shorter than pivotal-trial benchmarks, and line of therapy, de novo metastatic presentation, concomitant disease, and diabetes appeared to influence outcomes although subgroups were small `pmid-41925922`.",pmid-41925922,SUB001-C006,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB001-CL007,SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation","SOLAR-1 subgroup analyses suggest that long-term disease control can occur across patient subsets, but that observation is compatible with a distribution of benefit, not a guarantee for each PIK3CA-positive tumor `pmid-34173298`.",pmid-34173298,SUB001-C007,artifacts/10_claim_verification/02_work_orders/SUB001.md,artifacts/10_claim_verification/03_claim_reviews/SUB001.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL001,SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,"In one clinical summary of SOLAR-1 safety, 21 percent of patients permanently discontinued alpelisib alone because of adverse events, most often hyperglycemia, rash, diarrhea, and fatigue; these events can reduce exposure without constituting tumor resistance `pmid-33575071`.",pmid-33575071,SUB002-C001,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL002,SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,"The authors interpreted resistance as convergent and heterogeneous, with tumor evolution and failure of the endocrine partner both able to produce progression on the combination `pmid-32864625`.",pmid-32864625,SUB002-C002,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
SUB002-CL003,SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,"The same analysis suggested numerically better PFS with earlier-line use, de novo metastatic disease, and fewer comorbidities, while later-line use and preexisting diabetes appeared linked to worse OS, although subgroups were too small for statistical testing `pmid-41925922`.",pmid-41925922,SUB002-C003,artifacts/10_claim_verification/02_work_orders/SUB002.md,artifacts/10_claim_verification/03_claim_reviews/SUB002.csv,not_reviewed,Extracted from assembled review citation-bearing prose.
