paper_id,pmid,pmcid,doi,title,ingestion_status,source_format,access_source,source_url,source_path,normalized_path,text_char_count,section_count,pmc_xml_status,pdf_status,parser_status,user_pdf_required,notes
pmid-21278786,21278786,PMC3107390,10.1038/onc.2010.626,PI3K inhibition results in enhanced HER signaling and acquired ERK dependency in HER2-overexpressing breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3107390&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/3107390.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-21278786.json,27636,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-24351425,24351425,PMC3974833,10.4161/cbt.27311,ERK2-dependent reactivation of Akt mediates the limited response of tumor cells with constitutive K-RAS activity to PI3K inhibition.,normalized,pdf,user_pdf,,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24351425.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24351425.json,28203,7,not_attempted,normalized,normalized,0,User PDF staged from ERK2-dependent reactivation of Akt mediates the limited response of tumor cells with constitutive K-RAS activity to PI3K inhibition..pdf. Expected staged PDF found. Normalized from pdf.
pmid-24405121,24405121,,10.1111/bjh.12734,"PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance.",normalized,pdf,user_pdf,,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24405121.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24405121.json,19949,7,not_attempted,normalized,normalized,0,"User PDF staged from PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance..pdf. Expected staged PDF found. Normalized from pdf."
pmid-24608574,24608574,,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,normalized,pdf,user_pdf,,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24608574.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24608574.json,26958,11,not_attempted,normalized,normalized,0,User PDF staged from Characterization of the novel and specific PI3KŒ± inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials..pdf. Expected staged PDF found. Normalized from pdf.
pmid-24895459,24895459,,10.1158/1078-0432.CCR-13-3377,Cotargeting of epidermal growth factor receptor and PI3K overcomes PI3K-Akt oncogenic dependence in pancreatic ductal adenocarcinoma.,normalized,pdf,user_pdf,,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_24895459.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-24895459.json,17549,6,not_attempted,normalized,normalized,0,User PDF staged from Cotargeting of epidermal growth factor receptor and PI3K overcomes PI3K-Akt oncogenic dependence in pancreatic ductal adenocarcinoma..pdf. Expected staged PDF found. Normalized from pdf.
pmid-25053989,25053989,PMC4091530,10.18632/genesandcancer.10,Amphiregulin and PTEN evoke a multimodal mechanism of acquired resistance to PI3K inhibition.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4091530&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4091530.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25053989.json,23965,10,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4326538&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4326538.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25409150.json,12981,2,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-25528022,25528022,,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,normalized,pdf,user_pdf,,artifacts/04_primary_full_text_ingestion/04_pdf/01_staged/PMID_25528022.pdf,artifacts/04_primary_full_text_ingestion/04_pdf/03_normalized/pmid-25528022.json,16002,8,not_attempted,normalized,normalized,0,User PDF staged from A preclinical evaluation of the PI3K alpha:delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib..pdf. Expected staged PDF found. Normalized from pdf.
pmid-25873175,25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4398915&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4398915.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25873175.json,26489,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-26500061,26500061,PMC4846581,10.1038/onc.2015.406,"PI3K-p110α mediates resistance to HER2-targeted therapy in HER2+, PTEN-deficient breast cancers.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4846581&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4846581.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-26500061.json,15784,6,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
