subsection_id,chapter_title,subsection_title,query_source,query_text,embedding_model,lexical_limit,semantic_limit
SUB001,1: Clinical And Biological Rationale,PIK3CA Alteration As A Therapeutic Entry Point,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"PIK3CA mutation and PI3K pathway activation provide the therapeutic entry point for PI3K-alpha inhibition. In a review about resistance, this background matters because the target is not merely a druggable node; it defines the molecular context in which response and escape should be interpreted. A later verification pass should distinguish evidence that establishes PIK3CA as a selection biomarker from evidence that explains why a treated tumor fails to respond or progresses. The first drafting pass should therefore keep target-rationale papers, clinical testing guidance, and major trial papers visible, but not allow them to substitute for resistance evidence. Mutation prevalence, pathway activation, or biomarker-test adoption can justify why the field studies PI3K-alpha, yet those facts do not prove a resistance mechanism. Later agents should search for papers that connect PIK3CA alteration status to treatment exposure, response duration, acquired alterations, or functional escape. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Andre et al., 2019, SOLAR-1 alpelisib plus fulvestrant PMID 31091374 DOI 10.1056/NEJMoa1813904 De Angelis et al., 2026, PIK3CA testing consensus PMID 41999684 DOI 10.1016/j.breast.2026.104786 PIK3CA Alteration As A Therapeutic Entry Point 1: Clinical And Biological Rationale",text-embedding-3-small,80,80
SUB002,1: Clinical And Biological Rationale,Approved PI3K-alpha Inhibition And Clinical Benefit,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Alpelisib established that selective PI3K-alpha inhibition can produce clinical benefit in a biomarker-selected population, but the same trial context also makes resistance visible. A durable-benefit question follows naturally from the gap between pathway rationale and the eventual recurrence or progression seen in advanced cancer treatment. For this review, alpelisib should be treated as the anchor for what PI3K-alpha inhibition can achieve and as a baseline for asking which biological or clinical factors limit that benefit. The later verification workflow should inspect trial details rather than relying only on summary statements. Important extraction targets include prior therapy, endocrine context, PIK3CA testing method, progression-free survival, overall survival, adverse events, discontinuation, and subgroup findings. Those details determine whether a statement is really about biological resistance, treatment tolerability, trial design, patient selection, or incomplete pathway suppression. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Andre et al., 2019, SOLAR-1 primary report PMID 31091374 DOI 10.1056/NEJMoa1813904 Andre et al., 2021, SOLAR-1 final overall survival PMID 33246021 DOI 10.1016/j.annonc.2020.11.011 Rugo et al., BYLieve cohort A PMID 39637900 Approved PI3K-alpha Inhibition And Clinical Benefit 1: Clinical And Biological Rationale",text-embedding-3-small,80,80
SUB003,1: Clinical And Biological Rationale,Investigational Agents And Therapeutic-Index Hypothesis,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Newer PI3K-alpha inhibitors are relevant because resistance is shaped by both tumor biology and drug properties. If an inhibitor cannot suppress the pathway deeply or continuously because of toxicity, hyperglycemia, rash, gastrointestinal toxicity, or other tolerability limits, then an apparent resistance pattern may reflect pharmacologic constraint rather than a purely genetic escape mechanism. Inavolisib, RLY-2608, and STX-478 should therefore be framed as attempts to improve selectivity, therapeutic index, mutant targeting, or combination feasibility. This section should be careful not to overstate what next-generation inhibitors have proven. Improved selectivity, improved tolerability, clinical efficacy, and overcoming resistance are separate claims requiring different kinds of evidence. Later agents should search PubMed for each named investigational agent, distinguish preclinical from clinical evidence, and identify whether any paper actually tests resistance after prior PI3K-alpha inhibitor exposure. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Wedam et al., 2025, FDA approval summary for inavolisib combination PMID 40845250 DOI 10.1200/JCO-25-00663 Overall survival with inavolisib in PIK3CA-mutated advanced breast cancer PMID 40454641 Varkaris et al., RLY-2608 discovery and clinical proof-of-concept Buckbinder et al., 2023, STX-478 mutant-selective allosteric inhibitor PMID 37623743 Investigational Agents And Therapeutic-Index Hypothesis 1: Clinical And Biological Rationale",text-embedding-3-small,80,80
SUB004,2: On-Target And Pathway Reactivation Resistance,PTEN Loss As Acquired Resistance,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"PTEN loss is one of the clearest candidate mechanisms because it has a direct pathway rationale and has been described in acquired resistance contexts. Loss of PTEN can remove negative regulation of PI3K pathway signaling, allowing downstream signaling to persist or recover despite PI3K-alpha inhibition. This makes PTEN loss a strong early focus for claim verification, especially when patient-derived specimens or serial sampling show emergence after treatment. The final review must still avoid making PTEN loss sound universal. A baseline PTEN alteration, a model-system perturbation, and an acquired lesion in a progressing patient are different evidence classes. Later agents should verify whether each paper shows treatment exposure, timing of emergence, functional rescue or perturbation, and tumor context. Full text will likely be required because abstract-level summaries may not contain enough detail to separate acquired resistance from background pathway alteration. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Juric et al., 2015, convergent PTEN loss and resistance to BYL719 PMID 25409150 DOI 10.1038/nature13948 Varkaris et al., 2024, acquired resistance alterations during alpelisib/inavolisib therapy PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 PTEN Loss As Acquired Resistance 2: On-Target And Pathway Reactivation Resistance",text-embedding-3-small,80,80
SUB005,2: On-Target And Pathway Reactivation Resistance,Secondary PIK3CA Mutations,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Secondary PIK3CA mutations are important because they represent a possible on-target route to acquired resistance. Unlike bypass mechanisms, on-target alterations can directly change the relationship between drug structure, mutant kinase activity, and inhibitor potency. For a review that includes next-generation inhibitors, this section should separate resistance to orthosteric inhibitors from sensitivity or resistance to allosteric and mutant-selective agents. The evidence here is likely to be technically nuanced. A secondary mutation may alter binding, change kinase activity, occur in cis or trans with an oncogenic mutation, or create a context in which one inhibitor class fails while another remains active. Later verification should prioritize full text, structural interpretation, functional assays, and patient-derived temporal evidence. If the draft uses broad language such as ""secondary PIK3CA mutations drive resistance,"" that claim should be narrowed to the specific alterations and drugs supported by the evidence. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Varkaris et al., 2024, secondary PIK3CA resistance mutations PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 Varkaris et al., 2024, RLY-2608 overcoming resistance mutations PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 Secondary PIK3CA Mutations 2: On-Target And Pathway Reactivation Resistance",text-embedding-3-small,80,80
SUB006,2: On-Target And Pathway Reactivation Resistance,AKT/mTOR Axis Compensation,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Persistence or reactivation of AKT/mTOR signaling is a plausible resistance route because PI3K-alpha sits upstream of key survival and growth pathways. If downstream signaling remains active despite target inhibition, tumor cells may survive even when the primary driver is partially suppressed. This section should include model-system and translational evidence, but it must separate pathway-adjacent biology from experiments that specifically test PI3K-alpha inhibitor resistance. Later agents should search for papers measuring phosphorylated AKT, mTOR signaling, pharmacodynamic suppression, and adaptive pathway rebound after treatment. They should also identify combination studies involving mTOR or AKT pathway cotargeting and decide whether those studies test resistance biology or merely add another active therapy. Full text is likely needed because abstracts often compress pathway readouts and do not always clarify timing, treatment dose, or whether the signaling change is causal. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Varkaris et al., 2024, acquired pathway alterations PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 AKT/mTOR Axis Compensation 2: On-Target And Pathway Reactivation Resistance",text-embedding-3-small,80,80
SUB007,3: Bypass Signaling And Crosstalk,MAPK/ERK Bypass,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"MAPK/ERK signaling is a plausible bypass route when PI3K-alpha blockade fails to produce durable control. A tumor may maintain proliferation or survival by shifting dependence toward parallel signaling networks, especially when receptor tyrosine kinase input or downstream pathway rewiring activates MAPK-family signaling. This idea is biologically plausible, but a review should not treat plausibility as proof. The key question is whether MAPK/ERK activation is observed after PI3K-alpha inhibitor exposure and whether inhibiting it reverses resistance. For later verification, this subsection should become a focused search task rather than a broad pathway discussion. Agents should look for PI3K-alpha inhibitor-treated models with ERK rebound, MEK/MAPK cotargeting experiments, paired tumor or ctDNA analyses, and trial evidence where MAPK pathway alterations shape response. Full text will likely be required because abstracts may mention pathway crosstalk without showing whether it is causal, adaptive, or merely correlative. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Varkaris et al., 2024, acquired resistance landscape PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 MAPK/ERK Bypass 3: Bypass Signaling And Crosstalk",text-embedding-3-small,80,80
SUB008,3: Bypass Signaling And Crosstalk,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Receptor tyrosine kinase signaling may maintain growth and survival despite PI3K-alpha inhibition. In HER2-driven or ERBB-active contexts, PI3K pathway activity can be shaped by upstream receptor signaling, feedback loops, and combination partners. This makes HER2/ERBB crosstalk relevant to a resistance review, but only when the paper explicitly connects that crosstalk to PI3K-alpha inhibitor response, resistance, or combination treatment. Later verification should avoid drifting into general HER2 biology. The needed evidence is narrower: studies where PI3K-alpha inhibition is tested with HER2-directed therapy, where ERBB/EGFR signaling emerges during resistance, or where patient biomarker data link receptor signaling to PI3K-alpha inhibitor outcomes. A title/abstract pass may be enough to triage many papers, but full text is likely necessary for claims about causality, dose schedule, combination rationale, or subgroup interpretation. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. CD36 inhibition with PI3K inhibitors in PTEN-loss anti-HER2 resistant breast cancer cells PMID 39920872 HER2/ERBB And Receptor Tyrosine Kinase Crosstalk 3: Bypass Signaling And Crosstalk",text-embedding-3-small,80,80
SUB009,3: Bypass Signaling And Crosstalk,Endocrine Therapy Crosstalk,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"In HR-positive breast cancer, PI3K-alpha inhibition is often interpreted through endocrine resistance because approved and investigational regimens commonly combine PI3K-alpha inhibition with endocrine therapy. This creates a challenge for the review: endocrine resistance may be the clinical setting that motivates PI3K-alpha inhibition, the biological context that modifies response, or a parallel process that is not itself PI3K-alpha inhibitor resistance. The later verification workflow should therefore mark claims carefully. A paper showing benefit from alpelisib plus fulvestrant supports a combination strategy, but does not automatically prove that endocrine resistance is overcome through a specific molecular mechanism. Agents should search for translational analyses, ESR1 or ER pathway interactions, post-CDK4/6 settings, and biomarker-stratified outcomes. Full text will often be needed to interpret subgroup definitions and treatment history. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Andre et al., 2019, SOLAR-1 PMID 31091374 DOI 10.1056/NEJMoa1813904 Rugo et al., BYLieve cohort A PMID 39637900 Wedam et al., 2025, inavolisib approval summary PMID 40845250 DOI 10.1200/JCO-25-00663 Endocrine Therapy Crosstalk 3: Bypass Signaling And Crosstalk",text-embedding-3-small,80,80
SUB010,4: Cellular State And Microenvironmental Resistance,Tumor Heterogeneity And Clonal Selection,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"PI3K-alpha inhibitor resistance may reflect pre-existing resistant clones, therapy-induced selection, or mixed subclonal dependencies rather than a single uniform mechanism. This matters because a trial-level response can hide heterogeneous biology: one lesion may remain sensitive while another progresses through a distinct acquired alteration. Serial sampling, ctDNA, and autopsy studies are therefore especially valuable for connecting resistance claims to temporal evidence. The final review should not overinterpret heterogeneity without strong evidence. A baseline mixed tumor population is not the same as a clone selected by PI3K-alpha inhibitor therapy, and a ctDNA alteration detected at progression is not automatically causal. Later agents should extract timing, allele dynamics, treatment exposure, lesion context, and any functional validation. Full text will be important because these details are rarely complete in abstracts. For the next workflow stage, this subsection should be converted into explicit claims, targeted PubMed searches, access checks, venue labels, and full-text-needed decisions, and evidence-priority notes. Varkaris et al., 2024, patient acquired resistance analysis PMID 37916958 DOI 10.1158/2159-8290.CD-23-0704 Tumor Heterogeneity And Clonal Selection 4: Cellular State And Microenvironmental Resistance",text-embedding-3-small,80,80
