subsection_id,chapter_index,chapter_title,subsection_index,subsection_title,draft_citation_ids,draft_known_pmids,subsection_scope_note
SUB001,1,1: Clinical And Biological Rationale,1.1,PIK3CA Alteration As A Therapeutic Entry Point,S01-C001;S01-C002;S01-C003;S01-C004,31091374;41999684,"PIK3CA mutation and PI3K pathway activation provide the therapeutic entry point for PI3K-alpha inhibition. In a review about resistance, this background matters because the target is not merely a druggable node; it defines the molecular con"
SUB002,1,1: Clinical And Biological Rationale,1.2,Approved PI3K-alpha Inhibition And Clinical Benefit,S02-C001;S02-C002;S02-C003;S02-C004,31091374;33246021;39637900,"Alpelisib established that selective PI3K-alpha inhibition can produce clinical benefit in a biomarker-selected population, but the same trial context also makes resistance visible. A durable-benefit question follows naturally from the gap "
SUB003,1,1: Clinical And Biological Rationale,1.3,Investigational Agents And Therapeutic-Index Hypothesis,S03-C001;S03-C002;S03-C003;S03-C004,40845250;40454641;37623743,"Newer PI3K-alpha inhibitors are relevant because resistance is shaped by both tumor biology and drug properties. If an inhibitor cannot suppress the pathway deeply or continuously because of toxicity, hyperglycemia, rash, gastrointestinal t"
SUB004,2,2: On-Target And Pathway Reactivation Resistance,2.1,PTEN Loss As Acquired Resistance,S04-C001;S04-C002;S04-C003;S04-C004,25409150;37916958,"PTEN loss is one of the clearest candidate mechanisms because it has a direct pathway rationale and has been described in acquired resistance contexts. Loss of PTEN can remove negative regulation of PI3K pathway signaling, allowing downstre"
SUB005,2,2: On-Target And Pathway Reactivation Resistance,2.2,Secondary PIK3CA Mutations,S05-C001;S05-C002;S05-C003;S05-C004,37916958;37916958,"Secondary PIK3CA mutations are important because they represent a possible on-target route to acquired resistance. Unlike bypass mechanisms, on-target alterations can directly change the relationship between drug structure, mutant kinase ac"
SUB006,2,2: On-Target And Pathway Reactivation Resistance,2.3,AKT/mTOR Axis Compensation,S06-C001;S06-C002;S06-C003;S06-C004,37916958,"Persistence or reactivation of AKT/mTOR signaling is a plausible resistance route because PI3K-alpha sits upstream of key survival and growth pathways. If downstream signaling remains active despite target inhibition, tumor cells may surviv"
SUB007,3,3: Bypass Signaling And Crosstalk,3.1,MAPK/ERK Bypass,S07-C001;S07-C002;S07-C003;S07-C004,37916958,"MAPK/ERK signaling is a plausible bypass route when PI3K-alpha blockade fails to produce durable control. A tumor may maintain proliferation or survival by shifting dependence toward parallel signaling networks, especially when receptor tyr"
SUB008,3,3: Bypass Signaling And Crosstalk,3.2,HER2/ERBB And Receptor Tyrosine Kinase Crosstalk,S08-C001;S08-C002;S08-C003;S08-C004,39920872,"Receptor tyrosine kinase signaling may maintain growth and survival despite PI3K-alpha inhibition. In HER2-driven or ERBB-active contexts, PI3K pathway activity can be shaped by upstream receptor signaling, feedback loops, and combination p"
SUB009,3,3: Bypass Signaling And Crosstalk,3.3,Endocrine Therapy Crosstalk,S09-C001;S09-C002;S09-C003;S09-C004,31091374;39637900;40845250,"In HR-positive breast cancer, PI3K-alpha inhibition is often interpreted through endocrine resistance because approved and investigational regimens commonly combine PI3K-alpha inhibition with endocrine therapy. This creates a challenge for "
SUB010,4,4: Cellular State And Microenvironmental Resistance,4.1,Tumor Heterogeneity And Clonal Selection,S10-C001;S10-C002;S10-C003;S10-C004,37916958,"PI3K-alpha inhibitor resistance may reflect pre-existing resistant clones, therapy-induced selection, or mixed subclonal dependencies rather than a single uniform mechanism. This matters because a trial-level response can hide heterogeneous"
SUB011,4,4: Cellular State And Microenvironmental Resistance,4.2,Phenotypic Plasticity And Lineage Adaptation,S11-C001;S11-C002;S11-C003;S11-C004,,"Some resistance may arise through phenotypic adaptation rather than a single genomic alteration. Cells may shift transcriptional state, lineage program, metabolic dependency, or stress-response behavior in ways that reduce dependence on the"
SUB012,4,4: Cellular State And Microenvironmental Resistance,4.3,Metabolic And Microenvironmental Escape,S12-C001;S12-C002;S12-C003;S12-C004,39920872,"Metabolic adaptation and tumor microenvironment effects may contribute to resistance, but they are at high risk of becoming vague background unless directly connected to PI3K-alpha inhibitor response. These mechanisms may matter when tumor "
SUB013,5,5: Clinical Trials As Resistance Evidence,5.1,Positive Trials And Durable-Benefit Limits,S13-C001;S13-C002;S13-C003;S13-C004,31091374;33246021;39637900;40454641,"Positive trials define the therapeutic settings where PI3K-alpha inhibition has value, but they also show the limits of durability. A progression-free survival benefit confirms clinical activity in a selected population, yet resistance rema"
SUB014,5,5: Clinical Trials As Resistance Evidence,5.2,"Failed, Negative, Or Limited Trials",S14-C001;S14-C002;S14-C003;S14-C004,33186740,"Failed, negative, or clinically limited trials identify the boundary between mechanistic rationale and clinical utility. They can show that a target is biologically valid but difficult to drug, that a combination is mechanistically appealin"
